,year,mean,max,max_countries,min,median,std,25%,75%,iqr
0,2000,170.28,378.2,Afghanistan,64.29,157.2,69.3,122.4,203.9,81.5
1,2001,166.26,380.3,Afghanistan,62.81,153.6,69.3,120.4,195.3,74.9
2,2002,164.35,367.5,Afghanistan,61.37,152.4,68.0,117.1,195.9,78.8
3,2003,162.12,353.4,Afghanistan,59.9,149.9,67.35,123.0,195.8,72.8
4,2004,160.89,345.7,Afghanistan,58.37,151.2,67.43,111.4,200.6,89.2
5,2005,158.21,343.2,Afghanistan,56.9,146.7,67.54,108.7,196.6,87.9
6,2006,155.72,342.2,Afghanistan,55.5,144.2,66.1,104.0,194.1,90.1
7,2007,151.49,338.6,Afghanistan,53.99,141.5,65.0,98.2,189.7,91.5
8,2008,149.23,328.8,Afghanistan,52.43,141.6,63.41,94.27,184.3,90.03
9,2009,143.72,319.6,Afghanistan,50.85,141.2,59.37,92.36,180.7,88.34
10,2010,140.29,314.1,Afghanistan,49.69,136.7,59.06,89.49,177.2,87.71
11,2011,137.6,307.6,Afghanistan,48.94,133.4,57.98,88.8,176.8,88.0
12,2012,136.84,304.5,Afghanistan,47.74,130.4,58.79,86.97,181.3,94.33
13,2013,133.99,297.8,Afghanistan,46.4,125.9,57.55,84.24,179.3,95.06
14,2014,134.36,302.9,Syrian Arab Republic,45.21,124.1,61.2,82.31,181.4,99.09
15,2015,133.02,310.4,Syrian Arab Republic,45.14,122.9,61.97,80.22,177.6,97.38
