,year,mean,max,min,median,std,25%,75%,iqr
0,2000,25.46,26.93,24.03,25.36,0.68,88.48,159.45,70.96
1,2001,25.5,26.94,24.03,25.39,0.68,85.74,155.15,69.41
2,2002,25.55,26.95,24.03,25.45,0.69,84.92,152.2,67.27
3,2003,25.59,26.95,24.02,25.54,0.69,83.48,151.05,67.58
4,2004,25.63,26.98,24.01,25.6,0.69,81.49,150.45,68.96
5,2005,25.67,27.04,24.0,25.62,0.7,79.06,150.55,71.49
6,2006,25.71,27.1,23.99,25.66,0.71,76.94,150.55,73.62
7,2007,25.75,27.16,23.98,25.74,0.71,76.4,148.85,72.44
8,2008,25.78,27.21,23.97,25.82,0.72,74.66,145.75,71.1
9,2009,25.82,27.26,23.95,25.87,0.73,76.48,141.8,65.32
10,2010,25.85,27.31,23.93,25.9,0.74,70.91,132.7,61.78
11,2011,25.87,27.36,23.92,25.92,0.76,70.34,132.7,62.36
12,2012,25.9,27.4,23.9,25.95,0.77,68.1,130.25,62.15
13,2013,25.93,27.45,23.88,25.98,0.79,65.97,121.95,55.98
14,2014,25.96,27.49,23.86,26.03,0.8,64.33,120.3,55.97
15,2015,25.98,27.54,23.84,26.07,0.83,62.88,116.65,53.77
