,year,mean,max,min,median,std,25%,75%,iqr
0,2000,25.97,27.27,24.85,25.85,0.55,25.6,26.27,0.67
1,2001,26.05,27.34,24.96,25.93,0.55,25.7,26.34,0.64
2,2002,26.13,27.42,25.09,26.0,0.55,25.79,26.4,0.62
3,2003,26.22,27.49,25.22,26.07,0.54,25.88,26.48,0.6
4,2004,26.3,27.56,25.32,26.15,0.54,25.96,26.58,0.61
5,2005,26.39,27.63,25.39,26.24,0.54,26.03,26.66,0.63
6,2006,26.46,27.69,25.45,26.35,0.53,26.1,26.75,0.65
7,2007,26.54,27.74,25.52,26.47,0.53,26.2,26.84,0.64
8,2008,26.61,27.78,25.58,26.54,0.53,26.28,26.9,0.62
9,2009,26.68,27.82,25.64,26.59,0.53,26.34,26.98,0.64
10,2010,26.75,27.85,25.69,26.67,0.53,26.37,27.05,0.68
11,2011,26.81,27.87,25.74,26.71,0.53,26.44,27.12,0.67
12,2012,26.87,27.91,25.79,26.79,0.54,26.54,27.18,0.65
13,2013,26.93,28.03,25.84,26.88,0.54,26.58,27.24,0.67
14,2014,26.99,28.15,25.89,26.97,0.56,26.61,27.34,0.73
15,2015,27.05,28.27,25.94,27.08,0.57,26.68,27.41,0.73
