,year,mean,max,min,median,std,25%,75%,iqr
0,2000,6157.41,39169.36,137.18,1161.24,9537.13,558.23,8321.39,7763.16
1,2001,5798.11,34406.18,140.78,1209.77,8746.67,534.65,8191.51,7656.86
2,2002,5934.89,32820.79,145.82,1204.23,8766.19,559.83,8380.04,7820.21
3,2003,6592.25,35387.04,199.64,1256.03,9736.92,633.95,8896.9,8262.95
4,2004,7623.02,40792.28,221.83,1418.81,11322.84,774.79,10030.44,9255.65
5,2005,8771.55,52468.45,251.17,1744.51,13065.05,832.75,12357.7,11524.95
6,2006,9771.7,59978.86,274.02,2253.79,14409.82,909.03,14533.73,13624.7
7,2007,10731.43,64706.99,376.32,3064.28,15247.79,1022.73,15756.19,14733.46
8,2008,12344.32,79811.6,382.53,3908.95,17538.35,1158.1,18944.86,17786.76
9,2009,10450.48,60733.98,453.39,3832.23,13996.66,1225.85,15064.63,13838.78
10,2010,11992.17,73021.31,562.5,4430.43,16005.03,1742.35,17958.94,16216.59
11,2011,14035.38,92993.0,608.74,5453.16,19303.54,2051.13,22441.57,20390.44
12,2012,14452.71,98041.36,653.42,6049.47,19944.62,2190.23,24069.2,21878.97
13,2013,14353.15,97630.83,638.73,6171.3,19560.2,2367.5,23563.94,21196.44
14,2014,14132.4,93126.15,626.51,5822.38,18909.55,2558.78,23121.21,20562.43
15,2015,12150.58,66984.91,566.88,4990.94,15303.2,2595.23,18777.43,16182.2
