,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,4.45,10.83,Lebanon,1.81,Bangladesh,4.16,2.08,3.06,4.88,1.82
1,2001,4.6,10.56,Lebanon,1.77,Bangladesh,4.41,2.08,3.03,5.05,2.02
2,2002,4.63,9.44,Afghanistan,1.93,Bangladesh,4.24,2.03,3.12,5.14,2.02
3,2003,4.53,8.94,Afghanistan,1.96,Bangladesh,4.01,1.88,3.0,5.19,2.19
4,2004,4.55,9.81,Afghanistan,2.0,Bangladesh,4.16,1.91,3.14,5.41,2.27
5,2005,4.5,9.95,Afghanistan,2.01,Kuwait,4.11,1.99,3.02,5.3,2.28
6,2006,4.43,10.62,Afghanistan,1.82,Kuwait,3.85,2.02,2.93,5.46,2.53
7,2007,4.35,9.9,Afghanistan,1.93,Kuwait,3.75,1.97,2.84,5.36,2.52
8,2008,4.57,11.47,Maldives,1.64,Qatar,3.85,2.31,3.01,5.91,2.9
9,2009,4.92,10.09,Maldives,2.16,Myanmar,4.29,2.25,3.4,6.11,2.71
10,2010,4.72,9.24,Armenia,1.87,Qatar,4.09,2.12,3.2,6.29,3.09
11,2011,4.67,10.49,Japan,1.6,Qatar,3.87,2.25,2.99,6.1,3.11
12,2012,4.73,10.67,Japan,1.75,Qatar,4.11,2.16,3.16,6.12,2.96
13,2013,4.87,10.67,Japan,1.9,Brunei Darussalam,4.31,2.21,3.23,6.53,3.3
14,2014,4.96,10.73,Japan,1.91,Brunei Darussalam,4.39,2.16,3.53,6.67,3.14
15,2015,5.21,10.75,Japan,2.27,Bangladesh,4.71,2.12,3.76,6.79,3.03
