,year,mean,max,min,median,std
0,2000,21.39,60.8,1.5,19.1,15.12
1,2001,20.63,59.7,1.5,18.0,14.75
2,2002,19.8,58.6,1.3,17.2,14.36
3,2003,19.04,57.4,1.2,16.7,13.98
4,2004,18.33,56.1,1.3,15.6,13.62
5,2005,17.62,54.8,1.3,14.8,13.23
6,2006,16.96,53.5,1.3,14.0,12.88
7,2007,16.31,52.2,1.1,12.8,12.57
8,2008,15.73,50.9,1.2,12.1,12.28
9,2009,15.19,50.8,1.1,11.5,12.01
10,2010,14.64,50.5,1.0,11.4,11.74
11,2011,14.13,50.1,1.0,11.0,11.47
12,2012,13.62,49.3,0.9,10.2,11.2
13,2013,13.13,48.3,0.9,9.4,10.92
14,2014,12.73,47.3,0.9,8.9,10.63
15,2015,12.28,46.2,0.8,8.8,10.36
