,year,mean,max,min,median,std
0,2000,5.51,20.8,2.1,4.0,3.89
1,2001,5.23,19.0,1.9,3.8,3.98
2,2002,4.99,17.1,1.9,3.8,4.0
3,2003,4.76,15.6,1.9,3.6,3.98
4,2004,4.52,14.6,1.7,3.5,4.04
5,2005,4.3,13.7,1.6,3.3,4.14
6,2006,4.09,13.4,1.5,3.1,4.13
7,2007,3.9,13.0,1.6,3.1,4.09
8,2008,3.74,12.8,1.5,2.9,3.99
9,2009,3.58,12.9,1.3,2.8,3.86
10,2010,3.47,12.7,1.1,2.8,3.85
11,2011,3.37,12.7,1.2,2.6,3.85
12,2012,3.31,12.5,1.4,2.7,3.75
13,2013,3.24,12.3,1.1,2.7,3.73
14,2014,3.18,12.2,1.2,2.6,3.87
15,2015,3.13,11.9,1.2,2.5,3.71
