,year,mean,max,min,median,std,25%,75%,iqr
0,2000,11.44,16.19,7.08,11.78,2.56,5.86,7.9,2.04
1,2001,11.67,16.36,7.63,11.69,2.25,5.97,8.04,2.07
2,2002,12.01,16.84,8.11,12.29,2.4,6.14,8.48,2.34
3,2003,12.41,16.9,8.08,12.44,2.28,6.41,8.96,2.54
4,2004,12.63,17.36,8.18,13.03,2.35,6.36,8.99,2.63
5,2005,12.76,18.25,8.43,13.16,2.33,6.47,9.0,2.53
6,2006,12.6,17.43,8.44,12.89,2.37,6.48,8.94,2.47
7,2007,12.6,17.41,8.12,13.18,2.48,6.09,9.1,3.01
8,2008,12.41,17.46,5.8,12.58,2.76,6.31,9.38,3.07
9,2009,12.49,17.64,6.73,12.87,2.68,6.9,10.02,3.12
10,2010,12.59,17.45,7.5,12.86,2.4,6.81,9.93,3.12
11,2011,12.65,17.97,7.49,12.95,2.7,6.67,9.82,3.15
12,2012,12.74,18.23,7.64,13.04,2.73,6.86,9.8,2.94
13,2013,12.71,18.7,6.94,12.94,2.95,6.6,9.84,3.24
14,2014,12.76,19.17,7.72,12.63,2.97,6.52,9.64,3.12
15,2015,12.92,19.51,8.57,12.45,3.01,6.66,9.73,3.06
